"year","ID","Scenario","variable","value"
15,"1538394449543","Baseline","COPD2pc",11.7438880126183
16,"1538394449543","Baseline","COPD2pc",11.6672583126257
17,"1538394449543","Baseline","COPD2pc",11.6679463705629
18,"1538394449543","Baseline","COPD2pc",11.6798754041479
19,"1538394449543","Baseline","COPD2pc",11.6211207066525
20,"1538394449543","Baseline","COPD2pc",11.5339140030741
21,"1538394449543","Baseline","COPD2pc",11.3906723913814
22,"1538394449543","Baseline","COPD2pc",11.2637633201363
23,"1538394449543","Baseline","COPD2pc",11.1280427857957
24,"1538394449543","Baseline","COPD2pc",10.9844865796602
25,"1538394449543","Baseline","COPD2pc",10.8042649968987
26,"1538394449543","Baseline","COPD2pc",10.563262412744
27,"1538394449543","Baseline","COPD2pc",10.3768378729946
28,"1538394449543","Baseline","COPD2pc",10.2522479979537
29,"1538394449543","Baseline","COPD2pc",10.0074675260872
30,"1538394449543","Baseline","COPD2pc",9.82983790805933
31,"1538394449543","Baseline","COPD2pc",9.57283464566929
32,"1538394449543","Baseline","COPD2pc",9.30779602964479
33,"1538394449543","Baseline","COPD2pc",9.04535475550568
34,"1538394449543","Baseline","COPD2pc",8.84371154319468
35,"1538394449543","Baseline","COPD2pc",8.57182195472158
36,"1538394449543","Baseline","COPD2pc",8.29865312908907
37,"1538394449543","Baseline","COPD2pc",8.05338740317135
38,"1538394449543","Baseline","COPD2pc",7.80369596910832
39,"1538394449543","Baseline","COPD2pc",7.69245922307147
40,"1538394449543","Baseline","COPD2pc",7.52245103161381
41,"1538394449543","Baseline","COPD2pc",7.41461879615699
42,"1538394449543","Baseline","COPD2pc",7.25340110923939
43,"1538394449543","Baseline","COPD2pc",7.14018138801262
44,"1538394449543","Baseline","COPD2pc",7.03996374098451
45,"1538394449543","Baseline","COPD2pc",6.99968465449959
46,"1538394449543","Baseline","COPD2pc",6.94001024792085
47,"1538394449543","Baseline","COPD2pc",6.79962574481706
48,"1538394449543","Baseline","COPD2pc",6.7452062897422
49,"1538394449543","Baseline","COPD2pc",6.68889064225974
0,"1538394450012","Baseline","COPD2pc",0
1,"1538394450012","Baseline","COPD2pc",11.8153023854301
2,"1538394450012","Baseline","COPD2pc",11.8226893500787
3,"1538394450012","Baseline","COPD2pc",11.8914533888664
4,"1538394450012","Baseline","COPD2pc",11.9498348268154
5,"1538394450012","Baseline","COPD2pc",11.9594788441182
6,"1538394450012","Baseline","COPD2pc",12.0662889462391
7,"1538394450012","Baseline","COPD2pc",12.2074636306135
8,"1538394450012","Baseline","COPD2pc",12.2523358947514
9,"1538394450012","Baseline","COPD2pc",12.3946362046306
10,"1538394450012","Baseline","COPD2pc",12.473232876442
11,"1538394450012","Baseline","COPD2pc",12.4290668348045
12,"1538394450012","Baseline","COPD2pc",12.4086726432605
13,"1538394450012","Baseline","COPD2pc",12.4193134487455
14,"1538394450012","Baseline","COPD2pc",12.5307125307125
15,"1538394450012","Baseline","COPD2pc",12.5622344253729
16,"1538394450012","Baseline","COPD2pc",12.5744429106685
17,"1538394450012","Baseline","COPD2pc",12.5556255661009
18,"1538394450012","Baseline","COPD2pc",12.5041880998837
19,"1538394450012","Baseline","COPD2pc",12.4184230761648
20,"1538394450012","Baseline","COPD2pc",12.3046605576904
21,"1538394450012","Baseline","COPD2pc",12.1760713898766
22,"1538394450012","Baseline","COPD2pc",12.0067377213893
23,"1538394450012","Baseline","COPD2pc",11.8354660712705
24,"1538394450012","Baseline","COPD2pc",11.6481415789681
25,"1538394450012","Baseline","COPD2pc",11.4781050641884
26,"1538394450012","Baseline","COPD2pc",11.3144152133215
27,"1538394450012","Baseline","COPD2pc",11.1359451768853
28,"1538394450012","Baseline","COPD2pc",10.9325328477929
29,"1538394450012","Baseline","COPD2pc",10.6536769327467
30,"1538394450012","Baseline","COPD2pc",10.3344063475188
31,"1538394450012","Baseline","COPD2pc",10.0883319234326
32,"1538394450012","Baseline","COPD2pc",9.83645273661215
33,"1538394450012","Baseline","COPD2pc",9.56042333251292
34,"1538394450012","Baseline","COPD2pc",9.35908277448917
35,"1538394450012","Baseline","COPD2pc",8.99876123247537
36,"1538394450012","Baseline","COPD2pc",8.71576792077649
37,"1538394450012","Baseline","COPD2pc",8.4659421218063
38,"1538394450012","Baseline","COPD2pc",8.36509014997095
39,"1538394450012","Baseline","COPD2pc",8.1432775880228
40,"1538394450012","Baseline","COPD2pc",7.92530915898901
41,"1538394450012","Baseline","COPD2pc",7.75710223079421
42,"1538394450012","Baseline","COPD2pc",7.60686538063868
43,"1538394450012","Baseline","COPD2pc",7.41726030366626
44,"1538394450012","Baseline","COPD2pc",7.27270935766438
45,"1538394450012","Baseline","COPD2pc",7.20048863625169
46,"1538394450012","Baseline","COPD2pc",7.12560981619278
47,"1538394450012","Baseline","COPD2pc",6.97898725456424
48,"1538394450012","Baseline","COPD2pc",6.81970509383378
49,"1538394450012","Baseline","COPD2pc",6.76512954083545
0,"1538394450464","Baseline","COPD2pc",0
1,"1538394450464","Baseline","COPD2pc",11.3847372067703
2,"1538394450464","Baseline","COPD2pc",11.4269595082795
3,"1538394450464","Baseline","COPD2pc",11.4665320225331
4,"1538394450464","Baseline","COPD2pc",11.5154033359055
5,"1538394450464","Baseline","COPD2pc",11.6126798872459
6,"1538394450464","Baseline","COPD2pc",11.6752926739963
7,"1538394450464","Baseline","COPD2pc",11.7475593850045
8,"1538394450464","Baseline","COPD2pc",11.7825429906265
9,"1538394450464","Baseline","COPD2pc",11.8123216947513
10,"1538394450464","Baseline","COPD2pc",11.9556415776272
11,"1538394450464","Baseline","COPD2pc",11.9920361919593
12,"1538394450464","Baseline","COPD2pc",12.0050530969958
13,"1538394450464","Baseline","COPD2pc",11.9520497262099
14,"1538394450464","Baseline","COPD2pc",11.9820806567795
15,"1538394450464","Baseline","COPD2pc",12.0114046684162
16,"1538394450464","Baseline","COPD2pc",12.0926700331387
17,"1538394450464","Baseline","COPD2pc",12.095353392191
18,"1538394450464","Baseline","COPD2pc",12.1217200950568
19,"1538394450464","Baseline","COPD2pc",12.0817807219889
20,"1538394450464","Baseline","COPD2pc",12.009774939892
21,"1538394450464","Baseline","COPD2pc",11.9697970368764
22,"1538394450464","Baseline","COPD2pc",11.819856018751
23,"1538394450464","Baseline","COPD2pc",11.7064155246653
24,"1538394450464","Baseline","COPD2pc",11.5708502821798
25,"1538394450464","Baseline","COPD2pc",11.369277440706
26,"1538394450464","Baseline","COPD2pc",11.1880613459514
27,"1538394450464","Baseline","COPD2pc",10.9081963987012
28,"1538394450464","Baseline","COPD2pc",10.6287469360031
29,"1538394450464","Baseline","COPD2pc",10.4283145493313
30,"1538394450464","Baseline","COPD2pc",10.1597274195454
31,"1538394450464","Baseline","COPD2pc",9.88736412375191
32,"1538394450464","Baseline","COPD2pc",9.68256154920985
33,"1538394450464","Baseline","COPD2pc",9.41426505170565
34,"1538394450464","Baseline","COPD2pc",9.140292867265
35,"1538394450464","Baseline","COPD2pc",8.86351117406358
36,"1538394450464","Baseline","COPD2pc",8.64938823320963
37,"1538394450464","Baseline","COPD2pc",8.37725736692249
38,"1538394450464","Baseline","COPD2pc",8.16613972362576
39,"1538394450464","Baseline","COPD2pc",8.01051916201282
40,"1538394450464","Baseline","COPD2pc",7.81537673896563
41,"1538394450464","Baseline","COPD2pc",7.58769212614686
42,"1538394450464","Baseline","COPD2pc",7.47312039699106
43,"1538394450464","Baseline","COPD2pc",7.31765007342289
44,"1538394450464","Baseline","COPD2pc",7.19588806396345
45,"1538394450464","Baseline","COPD2pc",7.13919406694412
46,"1538394450464","Baseline","COPD2pc",7.04092091776394
47,"1538394450464","Baseline","COPD2pc",6.87554737701853
48,"1538394450464","Baseline","COPD2pc",6.74758909026367
49,"1538394450464","Baseline","COPD2pc",6.62890189383099
0,"1538394451087","Baseline","COPD2pc",0
1,"1538394451087","Baseline","COPD2pc",11.4901611786809
2,"1538394451087","Baseline","COPD2pc",11.4981785063752
3,"1538394451087","Baseline","COPD2pc",11.5772708386918
4,"1538394451087","Baseline","COPD2pc",11.6078229643772
5,"1538394451087","Baseline","COPD2pc",11.6619835364888
6,"1538394451087","Baseline","COPD2pc",11.7445014154772
7,"1538394451087","Baseline","COPD2pc",11.8230057015247
8,"1538394451087","Baseline","COPD2pc",11.8544577741763
9,"1538394451087","Baseline","COPD2pc",11.929803770529
10,"1538394451087","Baseline","COPD2pc",11.956135502211
11,"1538394451087","Baseline","COPD2pc",11.9978702005561
12,"1538394451087","Baseline","COPD2pc",12.0564994073489
13,"1538394451087","Baseline","COPD2pc",12.1174463216656
14,"1538394451087","Baseline","COPD2pc",12.1164903006933
15,"1538394451087","Baseline","COPD2pc",12.0729131713479
16,"1538394451087","Baseline","COPD2pc",12.1006547290368
17,"1538394451087","Baseline","COPD2pc",12.0504234784321
18,"1538394451087","Baseline","COPD2pc",12.0304678570021
19,"1538394451087","Baseline","COPD2pc",11.9684232311983
20,"1538394451087","Baseline","COPD2pc",11.9277808985996
21,"1538394451087","Baseline","COPD2pc",11.9005870995705
22,"1538394451087","Baseline","COPD2pc",11.8316851187896
23,"1538394451087","Baseline","COPD2pc",11.6267867324669
24,"1538394451087","Baseline","COPD2pc",11.4105142766998
25,"1538394451087","Baseline","COPD2pc",11.2351476132818
26,"1538394451087","Baseline","COPD2pc",11.0792853979034
27,"1538394451087","Baseline","COPD2pc",10.8694368442808
28,"1538394451087","Baseline","COPD2pc",10.63232818453
29,"1538394451087","Baseline","COPD2pc",10.4395604395604
30,"1538394451087","Baseline","COPD2pc",10.1663549561965
31,"1538394451087","Baseline","COPD2pc",9.98543708426812
32,"1538394451087","Baseline","COPD2pc",9.77063498308285
33,"1538394451087","Baseline","COPD2pc",9.49808621385207
34,"1538394451087","Baseline","COPD2pc",9.21573649061287
35,"1538394451087","Baseline","COPD2pc",8.96269067463438
36,"1538394451087","Baseline","COPD2pc",8.67810093929071
37,"1538394451087","Baseline","COPD2pc",8.46178848976134
38,"1538394451087","Baseline","COPD2pc",8.30451872210893
39,"1538394451087","Baseline","COPD2pc",8.12581267977462
40,"1538394451087","Baseline","COPD2pc",7.93361568009455
41,"1538394451087","Baseline","COPD2pc",7.72689704030227
42,"1538394451087","Baseline","COPD2pc",7.56060800094569
43,"1538394451087","Baseline","COPD2pc",7.38305318676985
44,"1538394451087","Baseline","COPD2pc",7.30736254964375
45,"1538394451087","Baseline","COPD2pc",7.27310361141776
46,"1538394451087","Baseline","COPD2pc",7.19819429112127
47,"1538394451087","Baseline","COPD2pc",7.02517139962425
48,"1538394451087","Baseline","COPD2pc",6.86153694484152
49,"1538394451087","Baseline","COPD2pc",6.72434714836775
0,"1538394453073","Baseline","COPD2pc",0
1,"1538394453073","Baseline","COPD2pc",11.7163595314248
2,"1538394453073","Baseline","COPD2pc",11.8071287951485
3,"1538394453073","Baseline","COPD2pc",11.8436683297695
4,"1538394453073","Baseline","COPD2pc",11.9504447896773
5,"1538394453073","Baseline","COPD2pc",11.9765038616339
6,"1538394453073","Baseline","COPD2pc",12.0714038471048
7,"1538394453073","Baseline","COPD2pc",12.1784164698208
8,"1538394453073","Baseline","COPD2pc",12.2274112478727
9,"1538394453073","Baseline","COPD2pc",12.3201279090425
10,"1538394453073","Baseline","COPD2pc",12.2849080432552
11,"1538394453073","Baseline","COPD2pc",12.1958193650168
12,"1538394453073","Baseline","COPD2pc",12.2041960250262
13,"1538394453073","Baseline","COPD2pc",12.2231757963166
14,"1538394453073","Baseline","COPD2pc",12.2691579196591
15,"1538394453073","Baseline","COPD2pc",12.2713241747946
16,"1538394453073","Baseline","COPD2pc",12.2803904170364
17,"1538394453073","Baseline","COPD2pc",12.2029290969439
18,"1538394453073","Baseline","COPD2pc",12.2191883446529
19,"1538394453073","Baseline","COPD2pc",12.0868725488264
20,"1538394453073","Baseline","COPD2pc",12.0290526357284
21,"1538394453073","Baseline","COPD2pc",11.9584277411093
22,"1538394453073","Baseline","COPD2pc",11.82914335251
23,"1538394453073","Baseline","COPD2pc",11.7055704744199
24,"1538394453073","Baseline","COPD2pc",11.4824766010216
25,"1538394453073","Baseline","COPD2pc",11.2249517735522
26,"1538394453073","Baseline","COPD2pc",10.9967598656674
27,"1538394453073","Baseline","COPD2pc",10.8205794874825
28,"1538394453073","Baseline","COPD2pc",10.6246799795187
29,"1538394453073","Baseline","COPD2pc",10.3414039537193
30,"1538394453073","Baseline","COPD2pc",10.2213509599756
31,"1538394453073","Baseline","COPD2pc",9.98387001593328
32,"1538394453073","Baseline","COPD2pc",9.72193493100086
33,"1538394453073","Baseline","COPD2pc",9.45246714409381
34,"1538394453073","Baseline","COPD2pc",9.15103438773301
35,"1538394453073","Baseline","COPD2pc",8.94221033903137
36,"1538394453073","Baseline","COPD2pc",8.65996023387208
37,"1538394453073","Baseline","COPD2pc",8.44974681299628
38,"1538394453073","Baseline","COPD2pc",8.30403828542731
39,"1538394453073","Baseline","COPD2pc",8.08242915936435
40,"1538394453073","Baseline","COPD2pc",7.90038812380558
41,"1538394453073","Baseline","COPD2pc",7.6682500811377
42,"1538394453073","Baseline","COPD2pc",7.44721726879538
43,"1538394453073","Baseline","COPD2pc",7.26883755779677
44,"1538394453073","Baseline","COPD2pc",7.19580474725968
45,"1538394453073","Baseline","COPD2pc",7.12927100887956
46,"1538394453073","Baseline","COPD2pc",7.0450869788174
47,"1538394453073","Baseline","COPD2pc",6.95741960861442
48,"1538394453073","Baseline","COPD2pc",6.79531276178462
49,"1538394453073","Baseline","COPD2pc",6.70844848006317
0,"1538394453401","Baseline","COPD2pc",0
